Date,Open,High,Low,Close,Adj Close,Volume
2023-12-14,0.070900,0.070900,0.070900,0.070900,-47.973793,0
2023-12-15,0.071900,0.071900,0.071900,0.071900,-48.650436,0
2023-12-18,0.067300,0.067300,0.067300,0.067300,-45.537888,0
2023-12-19,0.069200,0.069200,0.069200,0.069200,-46.823505,0
2023-12-20,0.069600,0.069600,0.069600,0.069600,-47.094162,0
2023-12-21,0.067300,0.067300,0.067300,0.067300,-45.537888,0
2023-12-22,0.067500,0.067500,0.067500,0.067500,-45.673218,0
2023-12-27,0.067500,0.067500,0.067500,0.067500,-45.673218,0
2023-12-28,0.066300,0.066300,0.066300,0.066300,-44.861248,0
2023-12-29,0.065500,0.065500,0.065500,0.065500,-44.319935,0
2024-01-02,0.068500,0.068500,0.068500,0.068500,-46.349857,0
2024-01-03,0.071900,0.071900,0.071900,0.071900,-48.650436,0
2024-01-04,0.071700,0.071700,0.071700,0.071700,-48.515106,0
2024-01-05,0.072000,0.072000,0.072000,0.072000,-48.718098,0
2024-01-08,0.069400,0.069400,0.069400,0.069400,-46.958832,0
2024-01-09,0.066300,0.066300,0.066300,0.066300,-44.861248,0
2024-01-10,0.067600,0.067600,0.067600,0.067600,-45.740879,0
2024-01-11,0.067100,0.067100,0.067100,0.067100,-45.402565,0
2024-01-12,0.067400,0.067400,0.067400,0.067400,-45.605553,0
2024-01-15,0.067400,0.067400,0.067400,0.067400,-45.605553,0
2024-01-16,0.069000,0.069000,0.069000,0.069000,-46.688175,0
2024-01-17,0.069800,0.069800,0.069800,0.069800,-47.229488,0
2024-01-18,0.070200,0.070200,0.070200,0.070200,-47.500149,0
2024-01-19,0.069300,0.069300,0.069300,0.069300,-46.891171,0
2024-01-22,0.069400,0.069400,0.069400,0.069400,-46.958832,0
2024-01-23,0.069100,0.069100,0.069100,0.069100,-46.755840,0
2024-01-24,0.068900,0.068900,0.068900,0.068900,-46.620510,0
2024-01-25,0.069200,0.069200,0.069200,0.069200,-46.823505,0
2024-01-26,0.073500,0.073500,0.073500,0.073500,-49.733059,0
2024-01-29,0.072900,0.072900,0.072900,0.072900,-49.327072,0
2024-01-30,0.072900,0.072900,0.072900,0.072900,-49.327072,0
2024-01-31,0.072900,0.072900,0.072600,0.072600,-49.124081,0
2024-02-01,0.073400,0.073500,0.073200,0.073300,-49.597729,0
2024-02-02,0.072200,0.072500,0.071900,0.072200,-48.853428,0
2024-02-05,0.069000,0.069100,0.068700,0.068700,-46.485188,0
2024-02-06,0.068200,0.068600,0.068200,0.068600,-46.417522,0
2024-02-07,0.066600,0.066900,0.066600,0.066600,-45.064243,0
2024-02-08,0.066500,0.066700,0.066500,0.066700,-45.131905,0
2024-02-09,0.066700,0.066700,0.066700,0.066700,-45.131905,0
2024-02-12,0.066700,0.066700,0.066700,0.066700,-45.131905,0
2024-02-13,0.066700,0.066700,0.066700,0.066700,-45.131905,0
2024-02-14,0.076000,0.076000,0.068800,0.068800,-46.552853,100
2024-02-15,0.069400,0.069800,0.069400,0.069800,-47.229488,0
2024-02-16,0.068700,0.068700,0.068100,0.068200,-46.146866,0
2024-02-19,0.068500,0.068500,0.068000,0.068300,-46.214531,0
2024-02-20,0.067600,0.067600,0.067000,0.067000,-45.334900,0
2024-02-21,0.066300,0.066400,0.066300,0.066300,-44.861248,0
2024-02-22,0.067900,0.067900,0.067600,0.067900,-45.943874,0
2024-02-23,0.069200,0.069200,0.068900,0.068900,-46.620510,0
2024-02-26,0.069600,0.069600,0.068900,0.068900,-46.620510,0
2024-02-27,0.068300,0.068300,0.068300,0.068300,-46.214531,0
2024-02-28,0.068800,0.068800,0.068600,0.068800,-46.552853,0
2024-02-29,0.067800,0.067800,0.067400,0.067400,-45.605553,0
2024-03-01,0.068500,0.068500,0.068300,0.068300,-46.214531,0
2024-03-04,0.067300,0.067600,0.067300,0.067400,-45.605553,0
2024-03-05,0.066400,0.066400,0.066300,0.066300,-44.861248,0
2024-03-06,0.066300,0.066800,0.066300,0.066400,-44.928913,0
2024-03-07,0.066600,0.066900,0.066600,0.066800,-45.199570,0
2024-03-08,0.066000,0.066100,0.066000,0.066000,-44.658257,0
